Date,Description,Money in,Money out
14/06/2024,"BESPOKE CAFE (VIA APPLE PAY), £ 3.20",0.0,3.2
14/06/2024,"NANOU DONUTS (VIA APPLE PAY), £ 6.10",0.0,6.1
14/06/2024,CARD PAYMENT TO PAYPAL £ 3.90,0.0,3.9
14/06/2024,0,100.0,0.0
14/06/2024,0,100.0,0.0
14/06/2024,TESCO STORES 2544 (VIA APPLE £ 8.95,0.0,8.95
15/01/2024,BILL PAYMENT VIA FASTER £ 150.00,0.0,150.0
15/01/2024,"COSTA COFFEE (VIA APPLE PAY), £ 4.25",0.0,4.25
15/01/2024,BILL PAYMENT TO emre uksul £ 40.00,0.0,40.0
15/01/2024,"STARBUCKS (VIA APPLE PAY), ON £ 3.20",0.0,3.2
15/01/2024,TESCO STORES 2544 (VIA APPLE £ 2.85,0.0,2.85
15/02/2024,"TFL TRAVEL CH (VIA APPLE PAY), £ 3.50",0.0,3.5
15/04/2024,TRUE CHICKEN LTD (VIA APPLE £ 7.79,0.0,7.79
15/04/2024,GRAND ISTANBUL MARKET (VIA £ 9.24,0.0,9.24
15/04/2024,GAILS SOUTH WOODFORD (VIA £ 5.00,0.0,5.0
15/04/2024,"PEPE'S PIRI PIRI (VIA APPLE PAY), £ 11.09",0.0,11.09
15/04/2024,"COSTA COFFEE (VIA APPLE PAY), £ 6.50",0.0,6.5
15/04/2024,TESCO STORES 6611 (VIA APPLE £ 1.10,0.0,1.1
15/04/2024,"TFL TRAVEL CH (VIA APPLE PAY), £ 5.25",0.0,5.25
15/05/2024,0,0.0,6.4
15/05/2024,TRUE CHICKEN LTD (VIA APPLE £ 6.29,0.0,6.29
15/06/2024,0,0.0,16.56
15/06/2024,"BESPOKE CAFE (VIA APPLE PAY), £ 4.80",0.0,4.8
15/06/2024,SUPERDRUG STORES PLC (VIA £ 4.39,0.0,4.39
15/06/2024,CARD PAYMENT TO TFL TRAVEL £ 3.50,0.0,3.5
15/06/2024,TRUE CHICKEN LTD (VIA APPLE £ 17.58,0.0,17.58
15/08/2023,BILL PAYMENT VIA FASTER £ 10.00,0.0,10.0
15/08/2023,BILL PAYMENT VIA FASTER £ 20.00,0.0,20.0
15/12/2023,CASH WITHDRAWAL AT £ 10.00,0.0,10.0
16/01/2024,"STARBUCKS (VIA APPLE PAY), ON £ 2.80",0.0,2.8
16/01/2024,"TFL TRAVEL CH (VIA APPLE PAY), £ 1.75",0.0,1.75
16/01/2024,"STARBUCKS (VIA APPLE PAY), ON £ 4.00",0.0,4.0
16/01/2024,BOULANGERIE JOIE DE VI (VIA £ 3.50,0.0,3.5
16/02/2024,"KFC (VIA APPLE PAY), ON £ 7.98",0.0,7.98
16/02/2024,0,0.0,2.3
16/02/2024,"BOOTS,SOUTHGATE (VIA APPLE £ 4.40",0.0,4.4
16/02/2024,"TFL TRAVEL CH (VIA APPLE PAY), £ 3.50",0.0,3.5
16/04/2024,"COSTA COFFEE (VIA APPLE PAY), £ 4.35",0.0,4.35
16/04/2024,TESCO STORES 2544 (VIA APPLE £ 10.25,0.0,10.25
16/04/2024,TESCO STORES 2544 (VIA APPLE £ 0.30,0.0,0.3
16/04/2024,TESCO STORES 2544 (VIA APPLE £ 13.90,0.0,13.9
16/04/2024,MEDI FOOD CENTRE (VIA APPLE £ 4.25,0.0,4.25
16/04/2024,TESCO STORES 2544 (VIA APPLE £ 33.00,0.0,33.0
16/05/2024,"TFL TRAVEL CH (VIA APPLE PAY), £ 6.40",0.0,6.4
16/05/2024,TESCO STORES 2544 (VIA APPLE £ 2.85,0.0,2.85
16/05/2024,TESCO STORES 2544 (VIA APPLE £ 5.90,0.0,5.9
16/05/2024,"TOMBO CAFE (VIA APPLE PAY), £ 21.15",0.0,21.15
16/06/2024,"TFL TRAVEL CH (VIA APPLE PAY), £ 6.40",0.0,6.4
16/06/2024,GAILS - SOUTH KENSINGT (VIA £ 3.90,0.0,3.9
16/08/2023,BILL PAYMENT VIA FASTER £ 10.00,0.0,10.0
